# 1D spherical import for Sirocco — pure escape velocity
# M_bh=1e6 Msun, L=L_Edd=1.439e+44, Mdot=10 Msun/yr
# r_in=3.2000e+15 (= 1.6e15 * Mdot/5), tau_es(r_in)=37.82
# T_eff=11850.9, T_color=29388.7, W=0.026441
# r_out=4.5771e+19, n_cells=100
# i   r(cm)   v_r(cm/s)   mass_rho(g/cm^3)   t_e(K)
0  2.90909091e+15  3.02097300e+08  1.82648037e-14  29388.7
1  3.20000000e+15  2.88038474e+08  1.82648037e-14  10000.0
2  3.52131067e+15  2.74582794e+08  1.58272230e-14  10000.0
3  3.87488400e+15  2.61755694e+08  1.37111277e-14  10000.0
4  4.26395949e+15  2.49527810e+08  1.18779537e-14  10000.0
5  4.69210189e+15  2.37871151e+08  1.02898746e-14  10000.0
6  5.16323389e+15  2.26759030e+08  8.91412125e-15  10000.0
7  5.68167205e+15  2.16166011e+08  7.72230572e-15  10000.0
8  6.25216637e+15  2.06067844e+08  6.68983559e-15  10000.0
9  6.87994380e+15  1.96441411e+08  5.79540644e-15  10000.0
10  7.57075609e+15  1.87264676e+08  5.02056221e-15  10000.0
11  8.33093255e+15  1.78516631e+08  4.34931444e-15  10000.0
12  9.16743802e+15  1.70177249e+08  3.76781231e-15  10000.0
13  1.00879367e+16  1.62227441e+08  3.26405686e-15  10000.0
14  1.11008622e+16  1.54649007e+08  2.82765336e-15  10000.0
15  1.22154951e+16  1.47424598e+08  2.44959690e-15  10000.0
16  1.34420479e+16  1.40537677e+08  2.12208647e-15  10000.0
17  1.47917583e+16  1.33972478e+08  1.83836410e-15  10000.0
18  1.62769926e+16  1.27713971e+08  1.59257533e-15  10000.0
19  1.79113587e+16  1.21747829e+08  1.37964845e-15  10000.0
20  1.97098307e+16  1.16060395e+08  1.19518984e-15  10000.0
21  2.16888866e+16  1.10638648e+08  1.03539329e-15  10000.0
22  2.38666587e+16  1.05470178e+08  8.96961497e-16  10000.0
23  2.62630999e+16  1.00543152e+08  7.77037995e-16  10000.0
24  2.89001669e+16  9.58462919e+07  6.73148231e-16  10000.0
25  3.18020206e+16  9.13688447e+07  5.83148500e-16  10000.0
26  3.49952482e+16  8.71005608e+07  5.05181708e-16  10000.0
27  3.85091065e+16  8.30316693e+07  4.37639054e-16  10000.0
28  4.23757899e+16  7.91528556e+07  3.79126835e-16  10000.0
29  4.66307253e+16  7.54552401e+07  3.28437682e-16  10000.0
30  5.13128970e+16  7.19303583e+07  2.84525656e-16  10000.0
31  5.64652036e+16  6.85701408e+07  2.46484655e-16  10000.0
32  6.21348512e+16  6.53668955e+07  2.13529725e-16  10000.0
33  6.83737857e+16  6.23132894e+07  1.84980860e-16  10000.0
34  7.52391690e+16  5.94023321e+07  1.60248971e-16  10000.0
35  8.27939027e+16  5.66273598e+07  1.38823728e-16  10000.0
36  9.11072039e+16  5.39820199e+07  1.20263034e-16  10000.0
37  1.00255240e+17  5.14602568e+07  1.04183900e-16  10000.0
38  1.10321827e+17  4.90562975e+07  9.02545416e-17  10000.0
39  1.21399196e+17  4.67646389e+07  7.81875345e-17  10000.0
40  1.33588839e+17  4.45800348e+07  6.77338829e-17  10000.0
41  1.47002438e+17  4.24974842e+07  5.86778816e-17  10000.0
42  1.61762892e+17  4.05122197e+07  5.08326652e-17  10000.0
43  1.78005437e+17  3.86196966e+07  4.40363520e-17  10000.0
44  1.95878888e+17  3.68155824e+07  3.81487040e-17  10000.0
45  2.15547006e+17  3.50957472e+07  3.30482329e-17  10000.0
46  2.37189991e+17  3.34562539e+07  2.86296934e-17  10000.0
47  2.61006139e+17  3.18933493e+07  2.48019113e-17  10000.0
48  2.87213657e+17  3.04034556e+07  2.14859027e-17  10000.0
49  3.16052660e+17  2.89831621e+07  1.86132435e-17  10000.0
50  3.47787376e+17  2.76292174e+07  1.61246580e-17  10000.0
51  3.82708562e+17  2.63385220e+07  1.39687957e-17  10000.0
52  4.21136169e+17  2.51081214e+07  1.21011716e-17  10000.0
53  4.63422277e+17  2.39351987e+07  1.04832484e-17  10000.0
54  5.09954315e+17  2.28170690e+07  9.08164097e-18  10000.0
55  5.61158615e+17  2.17511725e+07  7.86742810e-18  10000.0
56  6.17504318e+17  2.07350693e+07  6.81555515e-18  10000.0
57  6.79507669e+17  1.97664332e+07  5.90431733e-18  10000.0
58  7.47736751e+17  1.88430468e+07  5.11491175e-18  10000.0
59  8.22816687e+17  1.79627963e+07  4.43104947e-18  10000.0
60  9.05435367e+17  1.71236666e+07  3.83861939e-18  10000.0
61  9.96349755e+17  1.63237367e+07  3.32539705e-18  10000.0
62  1.09639282e+18  1.55611754e+07  2.88079239e-18  10000.0
63  1.20648117e+18  1.48342371e+07  2.49563125e-18  10000.0
64  1.32762344e+18  1.41412577e+07  2.16196604e-18  10000.0
65  1.46092955e+18  1.34806506e+07  1.87291179e-18  10000.0
66  1.60762088e+18  1.28509038e+07  1.62250400e-18  10000.0
67  1.76904142e+18  1.22505754e+07  1.40557567e-18  10000.0
68  1.94667014e+18  1.16782914e+07  1.21765059e-18  10000.0
69  2.14213447e+18  1.11327415e+07  1.05485105e-18  10000.0
70  2.35722530e+18  1.06126769e+07  9.13817756e-19  10000.0
71  2.59391332e+18  1.01169071e+07  7.91640577e-19  10000.0
72  2.85436707e+18  9.64429707e+06  6.85798452e-19  10000.0
73  3.14097288e+18  9.19376497e+06  5.94107390e-19  10000.0
74  3.45635666e+18  8.76427942e+06  5.14675397e-19  10000.0
75  3.80340799e+18  8.35485724e+06  4.45863440e-19  10000.0
76  4.18530660e+18  7.96456115e+06  3.86251622e-19  10000.0
77  4.60555150e+18  7.59249770e+06  3.34609888e-19  10000.0
78  5.06799300e+18  7.23781515e+06  2.89872639e-19  10000.0
79  5.57686807e+18  6.89970155e+06  2.51116748e-19  10000.0
80  6.13683907e+18  6.57738288e+06  2.17542509e-19  10000.0
81  6.75303652e+18  6.27012128e+06  1.88457136e-19  10000.0
82  7.43110611e+18  5.97721337e+06  1.63260469e-19  10000.0
83  8.17726038e+18  5.69798862e+06  1.41432590e-19  10000.0
84  8.99833569e+18  5.43180781e+06  1.22523092e-19  10000.0
85  9.90185482e+18  5.17806161e+06  1.06141789e-19  10000.0
86  1.08960959e+19  4.93616912e+06  9.19506612e-20  10000.0
87  1.19901684e+19  4.70557662e+06  7.96568834e-20  10000.0
88  1.31940962e+19  4.48575621e+06  6.90067803e-20  10000.0
89  1.45189099e+19  4.27620469e+06  5.97805930e-20  10000.0
