# 1D spherical import for Sirocco — pure escape velocity
# M_bh=1e6 Msun, L=L_Edd=1.439e+44, Mdot=2.5 Msun/yr
# r_in=8.0000e+14 (= 1.6e15 * Mdot/5), tau_es(r_in)=18.91
# T_eff=23701.8, T_color=49425.7, W=0.052882
# r_out=2.8607e+18, n_cells=100
# i   r(cm)   v_r(cm/s)   mass_rho(g/cm^3)   t_e(K)
0  7.27272727e+14  6.04194600e+08  3.65296073e-14  49425.7
1  8.00000000e+14  5.76076948e+08  3.65296073e-14  10000.0
2  8.68207936e+14  5.52985336e+08  3.19852807e-14  10000.0
3  9.42231274e+14  5.30819334e+08  2.82910796e-14  10000.0
4  1.02256584e+15  5.09541840e+08  2.50235473e-14  10000.0
5  1.10974972e+15  4.89117238e+08  2.21334049e-14  10000.0
6  1.20436689e+15  4.69511341e+08  1.95770650e-14  10000.0
7  1.30705111e+15  4.50691331e+08  1.73159744e-14  10000.0
8  1.41849019e+15  4.32625708e+08  1.53160329e-14  10000.0
9  1.53943055e+15  4.15284231e+08  1.35470784e-14  10000.0
10  1.67068227e+15  3.98637875e+08  1.19824327e-14  10000.0
11  1.81312451e+15  3.82658775e+08  1.05984987e-14  10000.0
12  1.96771136e+15  3.67320185e+08  9.37440485e-15  10000.0
13  2.13547827e+15  3.52596431e+08  8.29169004e-15  10000.0
14  2.31754897e+15  3.38462868e+08  7.33402545e-15  10000.0
15  2.51514301e+15  3.24895838e+08  6.48696817e-15  10000.0
16  2.72958390e+15  3.11872633e+08  5.73774338e-15  10000.0
17  2.96230801e+15  2.99371452e+08  5.07505174e-15  10000.0
18  3.21487415e+15  2.87371373e+08  4.48889894e-15  10000.0
19  3.48897406e+15  2.75852307e+08  3.97044498e-15  10000.0
20  3.78644371e+15  2.64794974e+08  3.51187085e-15  10000.0
21  4.10927559e+15  2.54180867e+08  3.10626061e-15  10000.0
22  4.45963210e+15  2.43992218e+08  2.74749711e-15  10000.0
23  4.83985997e+15  2.34211973e+08  2.43016968e-15  10000.0
24  5.25250605e+15  2.24823762e+08  2.14949259e-15  10000.0
25  5.70033429e+15  2.15811870e+08  1.90123283e-15  10000.0
26  6.18634433e+15  2.07161213e+08  1.68164631e-15  10000.0
