# 1D spherical import for Sirocco — pure escape velocity
# M_bh=1e6 Msun, L=L_Edd=1.439e+44, Mdot=5.0 Msun/yr
# r_in=1.6000e+15 (= 1.6e15 * Mdot/5), tau_es(r_in)=26.74
# T_eff=16759.7, T_color=38112.4, W=0.037394
# r_out=1.1443e+19, n_cells=100
# i   r(cm)   v_r(cm/s)   mass_rho(g/cm^3)   t_e(K)
0  1.45454545e+15  4.27230099e+08  2.58303330e-14  38112.4
1  1.60000000e+15  4.07347916e+08  2.58303330e-14  10000.0
2  1.74849360e+15  3.89666856e+08  2.24997371e-14  10000.0
3  1.91076867e+15  3.72753247e+08  1.96952432e-14  10000.0
4  2.08810424e+15  3.56573779e+08  1.72403172e-14  10000.0
5  2.28189806e+15  3.41096585e+08  1.50913870e-14  10000.0
6  2.49367759e+15  3.26291183e+08  1.32103115e-14  10000.0
7  2.72511207e+15  3.12128415e+08  1.15637039e-14  10000.0
8  2.97802563e+15  2.98580386e+08  1.01223388e-14  10000.0
9  3.25441172e+15  2.85620413e+08  8.86063346e-15  10000.0
10  3.55644879e+15  2.73222972e+08  7.75619421e-15  10000.0
11  3.88651746e+15  2.61363645e+08  6.78941850e-15  10000.0
12  4.24721931e+15  2.50019077e+08  5.94314715e-15  10000.0
13  4.64139736e+15  2.39166922e+08  5.20235982e-15  10000.0
14  5.07215849e+15  2.28785809e+08  4.55390840e-15  10000.0
15  5.54289790e+15  2.18855291e+08  3.98628362e-15  10000.0
16  6.05732594e+15  2.09355810e+08  3.48941078e-15  10000.0
17  6.61949727e+15  2.00268658e+08  3.05447098e-15  10000.0
18  7.23384288e+15  1.91575935e+08  2.67374451e-15  10000.0
19  7.90520498e+15  1.83260523e+08  2.34047394e-15  10000.0
20  8.63887519e+15  1.75306045e+08  2.04874409e-15  10000.0
21  9.44063623e+15  1.67696832e+08  1.79337709e-15  10000.0
22  1.03168075e+16  1.60417900e+08  1.56984048e-15  10000.0
23  1.12742949e+16  1.53454912e+08  1.37416672e-15  10000.0
24  1.23206453e+16  1.46794155e+08  1.20288284e-15  10000.0
25  1.34641059e+16  1.40422510e+08  1.05294875e-15  10000.0
26  1.47136894e+16  1.34327428e+08  9.21703291e-16  10000.0
27  1.60792448e+16  1.28496905e+08  8.06817003e-16  10000.0
28  1.75715354e+16  1.22919457e+08  7.06250789e-16  10000.0
29  1.92023232e+16  1.17584101e+08  6.18219714e-16  10000.0
30  2.09844620e+16  1.12480327e+08  5.41161328e-16  10000.0
31  2.29319985e+16  1.07598084e+08  4.73707933e-16  10000.0
32  2.50602828e+16  1.02927756e+08  4.14662309e-16  10000.0
33  2.73860901e+16  9.84601458e+07  3.62976464e-16  10000.0
34  2.99277520e+16  9.41864531e+07  3.17733034e-16  10000.0
35  3.27053017e+16  9.00982614e+07  2.78128999e-16  10000.0
36  3.57406317e+16  8.61875188e+07  2.43461435e-16  10000.0
37  3.90576661e+16  8.24465233e+07  2.13115031e-16  10000.0
38  4.26825495e+16  7.88679068e+07  1.86551173e-16  10000.0
39  4.66438528e+16  7.54446212e+07  1.63298385e-16  10000.0
40  5.09727988e+16  7.21699244e+07  1.42943955e-16  10000.0
41  5.57035078e+16  6.90373668e+07  1.25126615e-16  10000.0
42  6.08732667e+16  6.60407788e+07  1.09530129e-16  10000.0
43  6.65228233e+16  6.31742587e+07  9.58776774e-17  10000.0
44  7.26967067e+16  6.04321607e+07  8.39269438e-17  10000.0
45  7.94435789e+16  5.78090843e+07  7.34658170e-17  10000.0
46  8.68166182e+16  5.52998634e+07  6.43086239e-17  10000.0
47  9.48739383e+16  5.28995559e+07  5.62928349e-17  10000.0
48  1.03679046e+17  5.06034345e+07  4.92761790e-17  10000.0
49  1.13301343e+17  4.84069770e+07  4.31341186e-17  10000.0
50  1.23816670e+17  4.63058574e+07  3.77576392e-17  10000.0
51  1.35307910e+17  4.42959375e+07  3.30513145e-17  10000.0
52  1.47865634e+17  4.23732588e+07  2.89316125e-17  10000.0
53  1.61588821e+17  4.05340346e+07  2.53254135e-17  10000.0
54  1.76585637e+17  3.87746425e+07  2.21687113e-17  10000.0
55  1.92974285e+17  3.70916173e+07  1.94054783e-17  10000.0
56  2.10883939e+17  3.54816443e+07  1.69866702e-17  10000.0
57  2.30455761e+17  3.39415527e+07  1.48693560e-17  10000.0
58  2.51844014e+17  3.24683093e+07  1.30159558e-17  10000.0
59  2.75217279e+17  3.10590124e+07  1.13935737e-17  10000.0
60  3.00759782e+17  2.97108865e+07  9.97341456e-18  10000.0
61  3.28672846e+17  2.84212764e+07  8.73027202e-18  10000.0
62  3.59176480e+17  2.71876422e+07  7.64208176e-18  10000.0
63  3.92511110e+17  2.60075543e+07  6.68952966e-18  10000.0
64  4.28939477e+17  2.48786885e+07  5.85570902e-18  10000.0
65  4.68748706e+17  2.37988214e+07  5.12582047e-18  10000.0
66  5.12252570e+17  2.27658263e+07  4.48690935e-18  10000.0
67  5.59793962e+17  2.17776686e+07  3.92763570e-18  10000.0
68  6.11747599e+17  2.08324023e+07  3.43807307e-18  10000.0
69  6.68522976e+17  1.99281655e+07  3.00953229e-18  10000.0
70  7.30567590e+17  1.90631774e+07  2.63440724e-18  10000.0
71  7.98370472e+17  1.82357344e+07  2.30603989e-18  10000.0
72  8.72466037e+17  1.74442068e+07  2.01860209e-18  10000.0
73  9.53438301e+17  1.66870356e+07  1.76699216e-18  10000.0
74  1.04192548e+18  1.59627298e+07  1.54674431e-18  10000.0
75  1.13862502e+18  1.52698626e+07  1.35394939e-18  10000.0
76  1.24429910e+18  1.46070696e+07  1.18518551e-18  10000.0
77  1.35978063e+18  1.39730452e+07  1.03745732e-18  10000.0
78  1.48597983e+18  1.33665410e+07  9.08142796e-19  10000.0
79  1.62389139e+18  1.27863622e+07  7.94946765e-19  10000.0
80  1.77460231e+18  1.22313662e+07  6.95860124e-19  10000.0
81  1.93930049e+18  1.17004600e+07  6.09124200e-19  10000.0
82  2.11928405e+18  1.11925980e+07  5.33199530e-19  10000.0
83  2.31597163e+18  1.07067799e+07  4.66738539e-19  10000.0
84  2.53091348e+18  1.02420488e+07  4.08561619e-19  10000.0
85  2.76580376e+18  9.79748956e+06  3.57636199e-19  10000.0
86  3.02249386e+18  9.37222653e+06  3.13058409e-19  10000.0
87  3.30300697e+18  8.96542218e+06  2.74037046e-19  10000.0
88  3.60955409e+18  8.57627529e+06  2.39879526e-19  10000.0
89  3.94455139e+18  8.20401945e+06  2.09979591e-19  10000.0
90  4.31063929e+18  7.84792148e+06  1.83806553e-19  10000.0
91  4.71070325e+18  7.50728005e+06  1.60895869e-19  10000.0
92  5.14789655e+18  7.18142427e+06  1.40840902e-19  10000.0
93  5.62566510e+18  6.86971236e+06  1.23285699e-19  10000.0
94  6.14777464e+18  6.57153040e+06  1.07918675e-19  10000.0
95  6.71834038e+18  6.28629111e+06  9.44670839e-20  10000.0
96  7.34185946e+18  6.01343273e+06  8.26921746e-20  10000.0
97  8.02324642e+18  5.75241785e+06  7.23849564e-20  10000.0
98  8.76787188e+18  5.50273239e+06  6.33624879e-20  10000.0
99  9.58160491e+18  5.26388461e+06  5.54646306e-20  10000.0
100  1.04708593e+19  5.03540410e+06  4.85512068e-20  10000.0
101  1.14426440e+19  4.81684085e+06  4.24995110e-20  10000.0
