# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# M_bh=1.989e+39 g, Γ₀=1.375, Ṁ=10.0 M☉/yr
# L_o=2.022e+44 erg/s,  κ_es=0.34 cm²/g
# Inner BVP radius R_Edd = 1.6000e+15 cm; τ_es(R_Edd) ≈ 1338.8
# r_in  (τ_es=100)  = 9.4292e+15 cm
# r_ph  (τ_es=1)    = 7.4400e+17 cm
# r_out (=10×r_ph)  = 7.4400e+18 cm
# n_cells=100, T_core=7517 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  8.57198642e+15  1.41383249e+07  4.30221461e-14  7516.9
1  9.42918506e+15  1.47024641e+07  4.30221461e-14  10000.0
2  1.00796425e+16  1.50867394e+07  3.54246906e-14  10000.0
3  1.07749707e+16  1.54614032e+07  3.02298810e-14  10000.0
4  1.15182650e+16  1.58257805e+07  2.58292353e-14  10000.0
5  1.23128342e+16  1.61793077e+07  2.20961259e-14  10000.0
6  1.31622156e+16  1.65215272e+07  1.89249119e-14  10000.0
7  1.40701902e+16  1.68520818e+07  1.62273409e-14  10000.0
8  1.50408000e+16  1.71707178e+07  1.39295985e-14  10000.0
9  1.60783658e+16  1.74772738e+07  1.19698583e-14  10000.0
10  1.71875064e+16  1.77716639e+07  1.02962622e-14  10000.0
11  1.83731594e+16  1.80538918e+07  8.86525888e-15  10000.0
12  1.96406027e+16  1.83240224e+07  7.64021387e-15  10000.0
13  2.09954786e+16  1.85821833e+07  6.59026557e-15  10000.0
14  2.24438185e+16  1.88285584e+07  5.68938333e-15  10000.0
15  2.39920698e+16  1.90633665e+07  4.91557184e-15  10000.0
16  2.56471247e+16  1.92868799e+07  4.25022279e-15  10000.0
17  2.74163510e+16  1.94993945e+07  3.67757169e-15  10000.0
18  2.93076246e+16  1.97012320e+07  3.18423799e-15  10000.0
19  3.13293647e+16  1.98927355e+07  2.75885447e-15  10000.0
20  3.34905714e+16  2.00742652e+07  2.39174961e-15  10000.0
21  3.58008654e+16  2.02461761e+07  2.07468050e-15  10000.0
22  3.82705315e+16  2.04088604e+07  1.80061701e-15  10000.0
23  4.09105635e+16  2.05626829e+07  1.56355329e-15  10000.0
24  4.37327140e+16  2.07080323e+07  1.35835160e-15  10000.0
25  4.67495461e+16  2.08452828e+07  1.18061371e-15  10000.0
26  4.99744895e+16  2.09748028e+07  1.02656824e-15  10000.0
27  5.34219006e+16  2.10969425e+07  8.92978876e-16  10000.0
28  5.71071259e+16  2.12120899e+07  7.77065612e-16  10000.0
29  6.10465706e+16  2.13205580e+07  6.76437282e-16  10000.0
30  6.52577716e+16  2.14227175e+07  5.89035086e-16  10000.0
31  6.97594757e+16  2.15188575e+07  5.13085532e-16  10000.0
32  7.45717228e+16  2.16093301e+07  4.47059627e-16  10000.0
33  7.97159350e+16  2.16944166e+07  3.89636574e-16  10000.0
34  8.52150127e+16  2.17744292e+07  3.39677202e-16  10000.0
35  9.10934355e+16  2.18496102e+07  2.96194809e-16  10000.0
36  9.73773719e+16  2.19202564e+07  2.58336832e-16  10000.0
37  1.04094796e+17  2.19866138e+07  2.25365858e-16  10000.0
38  1.11275611e+17  2.20489321e+07  1.96641803e-16  10000.0
39  1.18951782e+17  2.21074502e+07  1.71610747e-16  10000.0
40  1.27157483e+17  2.21623583e+07  1.49791905e-16  10000.0
41  1.35929241e+17  2.22139159e+07  1.30768914e-16  10000.0
42  1.45306104e+17  2.22622717e+07  1.14179140e-16  10000.0
43  1.55329816e+17  2.23076019e+07  9.97082968e-17  10000.0
44  1.66044997e+17  2.23501161e+07  8.70830986e-17  10000.0
45  1.77499349e+17  2.23900451e+07  7.60662143e-17  10000.0
46  1.89743860e+17  2.24274023e+07  6.64508343e-17  10000.0
47  2.02833040e+17  2.24624437e+07  5.80574478e-17  10000.0
48  2.16825157e+17  2.24952970e+07  5.07294242e-17  10000.0
49  2.31782497e+17  2.25260890e+07  4.43306350e-17  10000.0
50  2.47771646e+17  2.25549686e+07  3.87424583e-17  10000.0
51  2.64863781e+17  2.25820090e+07  3.38615111e-17  10000.0
52  2.83134989e+17  2.26072957e+07  2.95980063e-17  10000.0
53  3.02666608e+17  2.26310661e+07  2.58731267e-17  10000.0
54  3.23545585e+17  2.26532645e+07  2.26186792e-17  10000.0
55  3.45864866e+17  2.26740448e+07  1.97747913e-17  10000.0
56  3.69723806e+17  2.26935523e+07  1.72895660e-17  10000.0
57  3.95228618e+17  2.27118333e+07  1.51175721e-17  10000.0
58  4.22492838e+17  2.27289408e+07  1.32191249e-17  10000.0
59  4.51637838e+17  2.27449354e+07  1.15596544e-17  10000.0
60  4.82793360e+17  2.27598870e+07  1.01089747e-17  10000.0
61  5.16098096e+17  2.27738769e+07  8.84072515e-18  10000.0
62  5.51700306e+17  2.27869999e+07  7.73188431e-18  10000.0
63  5.89758478e+17  2.27993687e+07  6.76243805e-18  10000.0
64  6.30442034e+17  2.28108820e+07  5.91474629e-18  10000.0
65  6.73932080e+17  2.28215406e+07  5.17345730e-18  10000.0
66  7.20422218e+17  2.28317419e+07  4.52522880e-18  10000.0
67  7.70119404e+17  2.28410759e+07  3.95835698e-18  10000.0
68  8.23244873e+17  2.28499286e+07  3.46254567e-18  10000.0
