# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# M_bh=1.989e+39 g, Γ₀=1.375, Ṁ=2.5 M☉/yr
# L_o=2.022e+44 erg/s,  κ_es=0.34 cm²/g
# Inner BVP radius R_Edd = 4.0000e+14 cm; τ_es(R_Edd) ≈ 669.6
# r_in  (τ_es=100)  = 1.3783e+15 cm
# r_ph  (τ_es=1)    = 9.3311e+16 cm
# r_out (=10×r_ph)  = 9.3311e+17 cm
# n_cells=100, T_core=19661 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  1.25297666e+15  2.15415915e+07  3.27816030e-13  19661.0
1  1.37827432e+15  2.27542771e+07  3.27816030e-13  10000.0
2  1.47109803e+15  2.35851368e+07  2.66888186e-13  10000.0
3  1.57017320e+15  2.44144417e+07  2.26164814e-13  10000.0
4  1.67592087e+15  2.52397514e+07  1.91906438e-13  10000.0
5  1.78879041e+15  2.60586805e+07  1.63051532e-13  10000.0
6  1.90926147e+15  2.68689285e+07  1.38717323e-13  10000.0
7  2.03784597e+15  2.76683123e+07  1.18169196e-13  10000.0
8  2.17509036e+15  2.84547871e+07  1.00795415e-13  10000.0
9  2.32157786e+15  2.92264796e+07  8.60861113e-14  10000.0
10  2.47793096e+15  2.99816825e+07  7.36159984e-14  10000.0
11  2.64481409e+15  3.07188946e+07  6.30300024e-14  10000.0
12  2.82293643e+15  3.14367993e+07  5.40313739e-14  10000.0
13  3.01305491e+15  3.21342889e+07  4.63718519e-14  10000.0
14  3.21597745e+15  3.28104410e+07  3.98435139e-14  10000.0
15  3.43256638e+15  3.34645423e+07  3.42720247e-14  10000.0
16  3.66374208e+15  3.40960360e+07  2.95110087e-14  10000.0
17  3.91048695e+15  3.47045711e+07  2.54374457e-14  10000.0
18  4.17384954e+15  3.52899218e+07  2.19477685e-14  10000.0
19  4.45494901e+15  3.58520394e+07  1.89547079e-14  10000.0
20  4.75497991e+15  3.63909769e+07  1.63846043e-14  10000.0
21  5.07521722e+15  3.69069393e+07  1.41751983e-14  10000.0
22  5.41702180e+15  3.74002032e+07  1.22738045e-14  10000.0
23  5.78184616e+15  3.78711556e+07  1.06357753e-14  10000.0
24  6.17124063e+15  3.83202569e+07  9.22320993e-15  10000.0
25  6.58685994e+15  3.87480235e+07  8.00390020e-15  10000.0
26  7.03047030e+15  3.91550244e+07  6.95043651e-15  10000.0
27  7.50395682e+15  3.95418975e+07  6.03946021e-15  10000.0
28  8.00933160e+15  3.99092699e+07  5.25103486e-15  10000.0
29  8.54874225e+15  4.02578388e+07  4.56812775e-15  10000.0
30  9.12448101e+15  4.05882689e+07  3.97616596e-15  10000.0
31  9.73899449e+15  4.09012876e+07  3.46266883e-15  10000.0
32  1.03948941e+16  4.11975950e+07  3.01692661e-15  10000.0
33  1.10949671e+16  4.14778813e+07  2.62975023e-15  10000.0
34  1.18421884e+16  4.17428660e+07  2.29323712e-15  10000.0
35  1.26397334e+16  4.19932010e+07  2.00058500e-15  10000.0
36  1.34909913e+16  4.22296103e+07  1.74593824e-15  10000.0
37  1.43995796e+16  4.24527598e+07  1.52424462e-15  10000.0
38  1.53693592e+16  4.26632535e+07  1.33114577e-15  10000.0
39  1.64044513e+16  4.28617095e+07  1.16287426e-15  10000.0
40  1.75092546e+16  4.30487929e+07  1.01617444e-15  10000.0
41  1.86884639e+16  4.32250551e+07  8.88227595e-16  10000.0
42  1.99470903e+16  4.33910859e+07  7.76592726e-16  10000.0
43  2.12904824e+16  4.35474018e+07  6.79155472e-16  10000.0
44  2.27243490e+16  4.36944959e+07  5.94079831e-16  10000.0
45  2.42547833e+16  4.38329710e+07  5.19773555e-16  10000.0
46  2.58882890e+16  4.39631654e+07  4.54853956e-16  10000.0
47  2.76318076e+16  4.40856499e+07  3.98118664e-16  10000.0
48  2.94927484e+16  4.42007737e+07  3.48522170e-16  10000.0
49  3.14790193e+16  4.43090170e+07  3.05156197e-16  10000.0
50  3.35990612e+16  4.44107094e+07  2.67227717e-16  10000.0
51  3.58618831e+16  4.45062854e+07  2.34048077e-16  10000.0
52  3.82771011e+16  4.45961004e+07  2.05016775e-16  10000.0
53  4.08549786e+16  4.46804551e+07  1.79609963e-16  10000.0
54  4.36064705e+16  4.47596194e+07  1.57370559e-16  10000.0
55  4.65432692e+16  4.48339824e+07  1.37901039e-16  10000.0
56  4.96778548e+16  4.49038396e+07  1.20852976e-16  10000.0
57  5.30235477e+16  4.49693944e+07  1.05923148e-16  10000.0
58  5.65945656e+16  4.50308832e+07  9.28465604e-17  10000.0
59  6.04060835e+16  4.50885826e+07  8.13915893e-17  10000.0
60  6.44742988e+16  4.51428172e+07  7.13557500e-17  10000.0
61  6.88164993e+16  4.51936354e+07  6.25620201e-17  10000.0
62  7.34511373e+16  4.52413321e+07  5.48563968e-17  10000.0
63  7.83979078e+16  4.52860227e+07  4.81028312e-17  10000.0
64  8.36778324e+16  4.53281074e+07  4.21836427e-17  10000.0
65  8.93133481e+16  4.53674877e+07  3.69950187e-17  10000.0
