# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=15.0 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 4.2658e+15 cm; τ_es(R) ≈ 1259
# r_in  (τ_es=100)  = 2.5087e+16 cm
# r_ph  (τ_es=1)    = 2.0505e+18 cm
# r_out (=10×r_ph)  = 2.0505e+19 cm
# n_cells=300, T_core=4466 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  2.28065097e+16  8.21708224e+06  1.57209628e-14  4466.0
1  2.50871607e+16  8.50714688e+06  1.57209628e-14  10000.0
2  2.56542615e+16  8.57350040e+06  1.36864143e-14  10000.0
3  2.62341817e+16  8.63919167e+06  1.29876073e-14  10000.0
4  2.68272111e+16  8.70421106e+06  1.23261532e-14  10000.0
5  2.74336461e+16  8.76854779e+06  1.16999599e-14  10000.0
6  2.80537897e+16  8.83219350e+06  1.11070533e-14  10000.0
7  2.86879518e+16  8.89513870e+06  1.05455787e-14  10000.0
8  2.93364493e+16  8.95737697e+06  1.00137860e-14  10000.0
9  2.99996061e+16  9.01890106e+06  9.51003098e-15  10000.0
10  3.06777538e+16  9.07970518e+06  9.03276286e-15  10000.0
11  3.13712312e+16  9.13978215e+06  8.58051906e-15  10000.0
12  3.20803848e+16  9.19912851e+06  8.15192498e-15  10000.0
13  3.28055689e+16  9.25774042e+06  7.74568231e-15  10000.0
14  3.35471460e+16  9.31561170e+06  7.36056943e-15  10000.0
15  3.43054866e+16  9.37274239e+06  6.99543340e-15  10000.0
16  3.50809697e+16  9.42912854e+06  6.64918836e-15  10000.0
17  3.58739827e+16  9.48476837e+06  6.32080902e-15  10000.0
18  3.66849219e+16  9.53966227e+06  6.00933010e-15  10000.0
19  3.75141927e+16  9.59380597e+06  5.71383949e-15  10000.0
20  3.83622092e+16  9.64720222e+06  5.43347810e-15  10000.0
21  3.92293954e+16  9.69985108e+06  5.16743397e-15  10000.0
22  4.01161845e+16  9.75175200e+06  4.91494139e-15  10000.0
23  4.10230197e+16  9.80290749e+06  4.67527932e-15  10000.0
24  4.19503540e+16  9.85331798e+06  4.44776352e-15  10000.0
25  4.28986510e+16  9.90298693e+06  4.23175084e-15  10000.0
