# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=2.5 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 7.1096e+14 cm; τ_es(R) ≈ 514
# r_in  (τ_es=100)  = 2.0699e+15 cm
# r_ph  (τ_es=1)    = 1.4002e+17 cm
# r_out (=10×r_ph)  = 1.4002e+18 cm
# n_cells=100, T_core=15548 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  1.88170015e+15  1.43225406e+07  2.18581250e-13  15547.9
1  2.06987017e+15  1.51329715e+07  2.18581250e-13  10000.0
2  2.20925433e+15  1.56882917e+07  1.77917325e-13  10000.0
3  2.35802457e+15  1.62426579e+07  1.50746070e-13  10000.0
4  2.51681293e+15  1.67944241e+07  1.27892700e-13  10000.0
5  2.68629403e+15  1.73419794e+07  1.08647511e-13  10000.0
6  2.86718792e+15  1.78837709e+07  9.24204086e-14  10000.0
7  3.06026312e+15  1.84183247e+07  7.87204448e-14  10000.0
8  3.26633992e+15  1.89442601e+07  6.71388541e-14  10000.0
9  3.48629385e+15  1.94603108e+07  5.73350254e-14  10000.0
10  3.72105938e+15  1.99653304e+07  4.90249019e-14  10000.0
11  3.97163392e+15  2.04582994e+07  4.19713763e-14  10000.0
12  4.23908204e+15  2.09383347e+07  3.59763324e-14  10000.0
13  4.52454000e+15  2.14046881e+07  3.08740691e-14  10000.0
14  4.82922058e+15  2.18567441e+07  2.65258314e-14  10000.0
15  5.15441822e+15  2.22940151e+07  2.28153001e-14  10000.0
16  5.50151452e+15  2.27161405e+07  1.96448444e-14  10000.0
17  5.87198415e+15  2.31228721e+07  1.69324137e-14  10000.0
18  6.26740103e+15  2.35140707e+07  1.46089586e-14  10000.0
19  6.68944513e+15  2.38897010e+07  1.26162939e-14  10000.0
20  7.13990949e+15  2.42498031e+07  1.09053261e-14  10000.0
21  7.62070792e+15  2.45945133e+07  9.43456497e-15  10000.0
22  8.13388312e+15  2.49240211e+07  8.16890456e-15  10000.0
23  8.68161531e+15  2.52385918e+07  7.07859857e-15  10000.0
24  9.26623155e+15  2.55385342e+07  6.13839934e-15  10000.0
25  9.89021560e+15  2.58241934e+07  5.32685758e-15  10000.0
26  1.05562185e+16  2.60959649e+07  4.62571798e-15  10000.0
27  1.12670697e+16  2.63542609e+07  4.01942347e-15  10000.0
28  1.20257893e+16  2.65995196e+07  3.49470157e-15  10000.0
29  1.28356008e+16  2.68321955e+07  3.04021197e-15  10000.0
30  1.36999446e+16  2.70527535e+07  2.64625378e-15  10000.0
31  1.46224930e+16  2.72616647e+07  2.30451569e-15  10000.0
32  1.56071654e+16  2.74594072e+07  2.00787262e-15  10000.0
33  1.66581452e+16  2.76464416e+07  1.75020518e-15  10000.0
34  1.77798976e+16  2.78232545e+07  1.52625354e-15  10000.0
35  1.89771882e+16  2.79902889e+07  1.33149242e-15  10000.0
36  2.02551039e+16  2.81480069e+07  1.16202275e-15  10000.0
37  2.16190739e+16  2.82968573e+07  1.01448394e-15  10000.0
38  2.30748931e+16  2.84372758e+07  8.85974007e-16  10000.0
39  2.46287464e+16  2.85696649e+07  7.73986336e-16  10000.0
40  2.62872356e+16  2.86944560e+07  6.76353991e-16  10000.0
41  2.80574068e+16  2.88120113e+07  5.91201555e-16  10000.0
42  2.99467805e+16  2.89227464e+07  5.16904503e-16  10000.0
43  3.19633838e+16  2.90269896e+07  4.52055574e-16  10000.0
44  3.41157843e+16  2.91250832e+07  3.95433458e-16  10000.0
45  3.64131266e+16  2.92174132e+07  3.45978591e-16  10000.0
46  3.88651709e+16  2.93042422e+07  3.02770208e-16  10000.0
47  4.14823348e+16  2.93858880e+07  2.65008447e-16  10000.0
48  4.42757374e+16  2.94626744e+07  2.31998062e-16  10000.0
49  4.72572465e+16  2.95348466e+07  2.03133556e-16  10000.0
50  5.04395292e+16  2.96026532e+07  1.77888458e-16  10000.0
51  5.38361054e+16  2.96663900e+07  1.55803856e-16  10000.0
52  5.74614056e+16  2.97262368e+07  1.36479811e-16  10000.0
53  6.13308319e+16  2.97824673e+07  1.19568150e-16  10000.0
54  6.54608238e+16  2.98352669e+07  1.04764882e-16  10000.0
55  6.98689275e+16  2.98848537e+07  9.18048097e-17  10000.0
56  7.45738711e+16  2.99314258e+07  8.04567874e-17  10000.0
57  7.95956435e+16  2.99750983e+07  7.05184183e-17  10000.0
58  8.49555799e+16  3.00160970e+07  6.18136756e-17  10000.0
