# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=20.0 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 5.6877e+15 cm; τ_es(R) ≈ 1454
# r_in  (τ_es=100)  = 3.7756e+16 cm
# r_ph  (τ_es=1)    = 3.1558e+18 cm
# r_out (=10×r_ph)  = 3.1558e+19 cm
# n_cells=100, T_core=3640 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  3.43235509e+16  7.43366115e+06  1.02461545e-14  3640.4
1  3.77559060e+16  7.67174515e+06  1.02461545e-14  10000.0
2  4.03837087e+16  7.83319473e+06  8.48491560e-15  10000.0
3  4.31944060e+16  7.98897448e+06  7.26789850e-15  10000.0
4  4.62007271e+16  8.13897584e+06  6.23237002e-15  10000.0
5  4.94162876e+16  8.28313338e+06  5.35009200e-15  10000.0
6  5.28556504e+16  8.42142252e+06  4.59741029e-15  10000.0
7  5.65343920e+16  8.55385559e+06  3.95448094e-15  10000.0
8  6.04691733e+16  8.68047772e+06  3.40463231e-15  10000.0
9  6.46778144e+16  8.80136044e+06  2.93383784e-15  10000.0
10  6.91793761e+16  8.91660374e+06  2.53027570e-15  10000.0
11  7.39942455e+16  9.02632471e+06  2.18397139e-15  10000.0
12  7.91442287e+16  9.13066108e+06  1.88649290e-15  10000.0
13  8.46526496e+16  9.22976325e+06  1.63070296e-15  10000.0
14  9.05444554e+16  9.32379344e+06  1.41055206e-15  10000.0
15  9.68463296e+16  9.41292194e+06  1.22090399e-15  10000.0
16  1.03586813e+17  9.49732401e+06  1.05739301e-15  10000.0
17  1.10796432e+17  9.57718462e+06  9.16302697e-16  10000.0
18  1.18507840e+17  9.65268699e+06  7.94464785e-16  10000.0
19  1.26755959e+17  9.72400943e+06  6.89175595e-16  10000.0
