# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.6, Γ₀=1.333333, m=0.150000, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=5.0 M☉/yr
# L_o=1.961e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 1.4219e+15 cm; τ_es(R) ≈ 82
# r_in  (R (τ_es=82<100 throughout))  = 1.4219e+15 cm
# r_ph  (τ_es=1)    = 6.1405e+16 cm
# r_out (=10×r_ph)  = 6.1405e+17 cm
# n_cells=100, T_core=19209 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  1.29265472e+15  7.88574555e+04  1.73004504e-10  19208.6
1  1.42192019e+15  7.88574555e+04  1.73004504e-10  10000.0
2  1.51087486e+15  4.60305125e+07  3.32316665e-13  10000.0
3  1.60539449e+15  5.91050489e+07  1.93546260e-13  10000.0
4  1.70582722e+15  6.77639137e+07  1.43574061e-13  10000.0
5  1.81254297e+15  7.43703809e+07  1.13819741e-13  10000.0
6  1.92593482e+15  7.97675747e+07  9.30619364e-14  10000.0
7  2.04642040e+15  8.43577535e+07  7.74516439e-14  10000.0
8  2.17444351e+15  8.83647960e+07  6.52048390e-14  10000.0
9  2.31047569e+15  9.19262455e+07  5.53384749e-14  10000.0
10  2.45501797e+15  9.51327638e+07  4.72463058e-14  10000.0
11  2.60860275e+15  9.80473845e+07  4.05240709e-14  10000.0
12  2.77179572e+15  1.00715838e+08  3.48865970e-14  10000.0
13  2.94519797e+15  1.03172493e+08  3.01241490e-14  10000.0
14  3.12944819e+15  1.05443958e+08  2.60775439e-14  10000.0
15  3.32522501e+15  1.07551363e+08  2.26229972e-14  10000.0
16  3.53324954e+15  1.09511876e+08  1.96624042e-14  10000.0
17  3.75428798e+15  1.11339721e+08  1.71168321e-14  10000.0
18  3.98915449e+15  1.13046882e+08  1.49219915e-14  10000.0
19  4.23871414e+15  1.14643612e+08  1.30249964e-14  10000.0
20  4.50388612e+15  1.16138803e+08  1.13819805e-14  10000.0
21  4.78564714e+15  1.17540257e+08  9.95630463e-15  10000.0
22  5.08503500e+15  1.18854886e+08  8.71718691e-15  10000.0
23  5.40315242e+15  1.20088871e+08  7.63863470e-15  10000.0
24  5.74117112e+15  1.21247782e+08  6.69860433e-15  10000.0
25  6.10033611e+15  1.22336671e+08  5.87832987e-15  10000.0
26  6.48197030e+15  1.23360141e+08  5.16178202e-15  10000.0
27  6.88747934e+15  1.24322418e+08  4.53522876e-15  10000.0
28  7.31835685e+15  1.25227390e+08  3.98687539e-15  10000.0
29  7.77618984e+15  1.26078640e+08  3.50656678e-15  10000.0
30  8.26266466e+15  1.26879499e+08  3.08554114e-15  10000.0
31  8.77957311e+15  1.27633054e+08  2.71622438e-15  10000.0
32  9.32881912e+15  1.28342182e+08  2.39205763e-15  10000.0
33  9.91242570e+15  1.29009566e+08  2.10735215e-15  10000.0
34  1.05325424e+16  1.29637710e+08  1.85716671e-15  10000.0
35  1.11914534e+16  1.30228956e+08  1.63720364e-15  10000.0
36  1.18915855e+16  1.30785498e+08  1.44372047e-15  10000.0
37  1.26355176e+16  1.31309397e+08  1.27345456e-15  10000.0
38  1.34259896e+16  1.31802571e+08  1.12355851e-15  10000.0
39  1.42659133e+16  1.32266845e+08  9.91544917e-16  10000.0
40  1.51583822e+16  1.32703918e+08  8.75239130e-16  10000.0
41  1.61066835e+16  1.33115382e+08  7.72738039e-16  10000.0
