# 1D spherical import for Sirocco — Owocki+2017 super-Eddington wind
# f=m/m_max=0.94, Γ₀=1.212766, m=0.164912, w_sg=0 (tiring_solver, runs_f/)
# m_sph = 0.2/Γ₀ (Ṁ_out=Ṁ, h=0.3) → R = ṀGM/(0.2 L_Edd)
# M_bh=1.989e+39 g, Ṁ=10.0 M☉/yr
# L_o=1.784e+44 erg/s,  κ_es=0.34 cm²/g
# Heating radius R = 2.8438e+15 cm; τ_es(R) ≈ 1028
# r_in  (τ_es=100)  = 1.4153e+16 cm
# r_ph  (τ_es=1)    = 1.1168e+18 cm
# r_out (=10×r_ph)  = 1.1168e+19 cm
# n_cells=100, T_core=5946 K
# i  r(cm)  v_r(cm/s)  mass_rho(g/cm^3)  t_e(K)
0  1.28665646e+16  9.41068384e+06  2.86856285e-14  5945.9
1  1.41532211e+16  9.78803768e+06  2.86856285e-14  10000.0
2  1.51295611e+16  1.00450803e+07  2.36162774e-14  10000.0
3  1.61732525e+16  1.02956879e+07  2.01507502e-14  10000.0
4  1.72889416e+16  1.05394050e+07  1.72155035e-14  10000.0
5  1.84815949e+16  1.07758508e+07  1.47258924e-14  10000.0
6  1.97565217e+16  1.10047171e+07  1.26113138e-14  10000.0
7  2.11193975e+16  1.12257656e+07  1.08128044e-14  10000.0
8  2.25762894e+16  1.14388248e+07  9.28105517e-15  10000.0
9  2.41336830e+16  1.16437846e+07  7.97477760e-15  10000.0
10  2.57985111e+16  1.18405929e+07  6.85934894e-15  10000.0
11  2.75781851e+16  1.20292481e+07  5.90569573e-15  10000.0
12  2.94806273e+16  1.22097981e+07  5.08936763e-15  10000.0
13  3.15143069e+16  1.23823291e+07  4.38977406e-15  10000.0
14  3.36882770e+16  1.25469616e+07  3.78954712e-15  10000.0
15  3.60122153e+16  1.27038526e+07  3.27401742e-15  10000.0
16  3.84964673e+16  1.28531775e+07  2.83077343e-15  10000.0
17  4.11520919e+16  1.29951392e+07  2.44930211e-15  10000.0
18  4.39909110e+16  1.31299535e+07  2.12068401e-15  10000.0
19  4.70255620e+16  1.32578535e+07  1.83734042e-15  10000.0
20  5.02695542e+16  1.33790757e+07  1.59282473e-15  10000.0
21  5.37373286e+16  1.34938695e+07  1.38164368e-15  10000.0
22  5.74443226e+16  1.36024921e+07  1.19911150e-15  10000.0
23  6.14070383e+16  1.37051859e+07  1.04122585e-15  10000.0
24  6.56431164e+16  1.38022132e+07  9.04563648e-16  10000.0
25  7.01714143e+16  1.38938278e+07  7.86194780e-16  10000.0
26  7.50120905e+16  1.39802674e+07  6.83606245e-16  10000.0
27  8.01866940e+16  1.40617910e+07  5.94642433e-16  10000.0
28  8.57182601e+16  1.41386257e+07  5.17450870e-16  10000.0
29  9.16314136e+16  1.42110156e+07  4.50439086e-16  10000.0
30  9.79524777e+16  1.42791769e+07  3.92235579e-16  10000.0
31  1.04709591e+17  1.43433258e+07  3.41659640e-16  10000.0
32  1.11932835e+17  1.44036844e+07  2.97691947e-16  10000.0
33  1.19654364e+17  1.44604594e+07  2.59453855e-16  10000.0
34  1.27908552e+17  1.45138269e+07  2.26185457e-16  10000.0
35  1.36732143e+17  1.45639822e+07  1.97230567e-16  10000.0
36  1.46164418e+17  1.46111078e+07  1.72021459e-16  10000.0
37  1.56247364e+17  1.46553718e+07  1.50066175e-16  10000.0
38  1.67025869e+17  1.46969433e+07  1.30939188e-16  10000.0
39  1.78547913e+17  1.47359563e+07  1.14271308e-16  10000.0
40  1.90864789e+17  1.47725787e+07  9.97427049e-17  10000.0
41  2.04031328e+17  1.48069499e+07  8.70755042e-17  10000.0
42  2.18106142e+17  1.48391989e+07  7.60286289e-17  10000.0
43  2.33151887e+17  1.48694384e+07  6.63928826e-17  10000.0
44  2.49235542e+17  1.48977963e+07  5.79860745e-17  10000.0
45  2.66428705e+17  1.49243938e+07  5.06501618e-17  10000.0
46  2.84807914e+17  1.49493452e+07  4.42475907e-17  10000.0
47  3.04454987e+17  1.49727000e+07  3.86586163e-17  10000.0
48  3.25457385e+17  1.49946296e+07  3.37790483e-17  10000.0
49  3.47908605e+17  1.50151389e+07  2.95182935e-17  10000.0
50  3.71908590e+17  1.50343721e+07  2.57973227e-17  10000.0
51  3.97564180e+17  1.50523968e+07  2.25473074e-17  10000.0
52  4.24989585e+17  1.50692917e+07  1.97082996e-17  10000.0
53  4.54306894e+17  1.50851372e+07  1.72280243e-17  10000.0
54  4.85646615e+17  1.50999138e+07  1.50609706e-17  10000.0
55  5.19148263e+17  1.51138221e+07  1.31673639e-17  10000.0
56  5.54960975e+17  1.51267819e+07  1.15125208e-17  10000.0
57  5.93244176e+17  1.51389760e+07  1.00662398e-17  10000.0
58  6.34168290e+17  1.51503911e+07  8.80213613e-18  10000.0
59  6.77915497e+17  1.51610312e+07  7.69714729e-18  10000.0
60  7.24680543e+17  1.51710083e+07  6.73118636e-18  10000.0
61  7.74671610e+17  1.51803571e+07  5.88670979e-18  10000.0
62  8.28111240e+17  1.51891170e+07  5.14839438e-18  10000.0
63  8.85237328e+17  1.51973343e+07  4.50285529e-18  10000.0
64  9.46304178e+17  1.52050489e+07  3.93840007e-18  10000.0
65  1.01158364e+18  1.52121639e+07  3.44481390e-18  10000.0
66  1.08136631e+18  1.52188526e+07  3.01317225e-18  10000.0
67  1.15596284e+18  1.52251912e+07  2.63570453e-18  10000.0
68  1.23570531e+18  1.52310652e+07  2.30559286e-18  10000.0
69  1.32094871e+18  1.52365297e+07  2.01686084e-18  10000.0
70  1.41207249e+18  1.52417888e+07  1.76434690e-18  10000.0
71  1.50948232e+18  1.52464921e+07  1.54347314e-18  10000.0
72  1.61361184e+18  1.52511347e+07  1.35028293e-18  10000.0
73  1.72492458e+18  1.52552214e+07  1.18129266e-18  10000.0
74  1.84391607e+18  1.52592458e+07  1.03347714e-18  10000.0
75  1.97111602e+18  1.52629064e+07  9.04161021e-19  10000.0
76  2.10709069e+18  1.52663112e+07  7.91055278e-19  10000.0
77  2.25244537e+18  1.52697167e+07  6.92098463e-19  10000.0
78  2.40782714e+18  1.52725912e+07  6.05529359e-19  10000.0
79  2.57392771e+18  1.52753753e+07  5.29802454e-19  10000.0
80  2.75148649e+18  1.52781598e+07  4.63545881e-19  10000.0
81  2.94129391e+18  1.52806271e+07  4.05575437e-19  10000.0
82  3.14419493e+18  1.52827880e+07  3.54869076e-19  10000.0
83  3.36109279e+18  1.52849492e+07  3.10502188e-19  10000.0
84  3.59295304e+18  1.52871107e+07  2.71682194e-19  10000.0
85  3.84080785e+18  1.52891493e+07  2.37715602e-19  10000.0
86  4.10576057e+18  1.52906836e+07  2.08001570e-19  10000.0
87  4.38899068e+18  1.52922180e+07  1.82004010e-19  10000.0
88  4.69175902e+18  1.52937525e+07  1.59255815e-19  10000.0
89  5.01541341e+18  1.52952872e+07  1.39350856e-19  10000.0
90  5.36139464e+18  1.52968221e+07  1.21933765e-19  10000.0
91  5.73124290e+18  1.52982819e+07  1.06693590e-19  10000.0
92  6.12660463e+18  1.52991800e+07  9.33606460e-20  10000.0
93  6.54923982e+18  1.53000782e+07  8.16951498e-20  10000.0
94  7.00102991e+18  1.53009765e+07  7.14872679e-20  10000.0
95  7.48398610e+18  1.53018748e+07  6.25548699e-20  10000.0
