# 1D spherical import for Sirocco — pure escape velocity
# M_bh=1e6 Msun, L=L_Edd=1.439e+44, Mdot=15 Msun/yr
# r_in=4.8000e+15 (= 1.6e15 * Mdot/5), tau_es(r_in)=46.32
# T_eff=9676.0, T_color=25242.8, W=0.021589
# r_out=1.0298e+20, n_cells=100
# i   r(cm)   v_r(cm/s)   mass_rho(g/cm^3)   t_e(K)
0  4.36363636e+15  2.46661413e+08  1.49120157e-14  25242.8
1  4.80000000e+15  2.35182429e+08  1.49120157e-14  10000.0
2  5.30342650e+15  2.23741844e+08  1.28826542e-14  10000.0
3  5.85965263e+15  2.12857793e+08  1.10925750e-14  10000.0
4  6.47421605e+15  2.02503203e+08  9.55123210e-15  10000.0
5  7.15323519e+15  1.92652318e+08  8.22406291e-15  10000.0
6  7.90347022e+15  1.83280635e+08  7.08130742e-15  10000.0
7  8.73239029e+15  1.74364842e+08  6.09734085e-15  10000.0
8  9.64824793e+15  1.65882764e+08  5.25009906e-15  10000.0
9  1.06601612e+16  1.57813301e+08  4.52058378e-15  10000.0
10  1.17782045e+16  1.50136382e+08  3.89243660e-15  10000.0
11  1.30135087e+16  1.42832911e+08  3.35157215e-15  10000.0
12  1.43783722e+16  1.35884722e+08  2.88586225e-15  10000.0
13  1.58863834e+16  1.29274531e+08  2.48486399e-15  10000.0
14  1.75525555e+16  1.22985897e+08  2.13958550e-15  10000.0
15  1.93934767e+16  1.17003177e+08  1.84228439e-15  10000.0
16  2.14274746e+16  1.11311490e+08  1.58629405e-15  10000.0
17  2.36747993e+16  1.05896678e+08  1.36587426e-15  10000.0
18  2.61578246e+16  1.00745273e+08  1.17608239e-15  10000.0
19  2.89012709e+16  9.58444612e+07  1.01266260e-15  10000.0
20  3.19324512e+16  9.11820521e+07  8.71950428e-16  10000.0
21  3.52815433e+16  8.67464486e+07  7.50790589e-16  10000.0
22  3.89818899e+16  8.25266175e+07  6.46466233e-16  10000.0
23  4.30703308e+16  7.85120626e+07  5.56638024e-16  10000.0
24  4.75875695e+16  7.46927980e+07  4.79291685e-16  10000.0
25  5.25785786e+16  7.10593237e+07  4.12692826e-16  10000.0
26  5.80930472e+16  6.76026019e+07  3.55348056e-16  10000.0
27  6.41858763e+16  6.43140343e+07  3.05971495e-16  10000.0
28  7.09177244e+16  6.11854410e+07  2.63455939e-16  10000.0
29  7.83556122e+16  5.82090399e+07  2.26848033e-16  10000.0
30  8.65735896e+16  5.53774276e+07  1.95326894e-16  10000.0
31  9.56534727e+16  5.26835607e+07  1.68185700e-16  10000.0
32  1.05685659e+17  5.01207385e+07  1.44815848e-16  10000.0
33  1.16770026e+17  4.76825862e+07  1.24693300e-16  10000.0
34  1.29016927e+17  4.53630393e+07  1.07366833e-16  10000.0
35  1.42548289e+17  4.31563281e+07  9.24479248e-17  10000.0
36  1.57498828e+17  4.10569636e+07  7.96020389e-17  10000.0
37  1.74017387e+17  3.90597239e+07  6.85411231e-17  10000.0
38  1.92268421e+17  3.71596411e+07  5.90171511e-17  10000.0
39  2.12433633e+17  3.53519889e+07  5.08165604e-17  10000.0
40  2.34713783e+17  3.36322710e+07  4.37554637e-17  10000.0
41  2.59330687e+17  3.19962098e+07  3.76755252e-17  10000.0
42  2.86529424e+17  3.04397357e+07  3.24404104e-17  10000.0
43  3.16580779e+17  2.89589772e+07  2.79327288e-17  10000.0
44  3.49783936e+17  2.75502510e+07  2.40514016e-17  10000.0
45  3.86469457e+17  2.62100532e+07  2.07093951e-17  10000.0
46  4.27002575e+17  2.49350500e+07  1.78317694e-17  10000.0
47  4.71786827e+17  2.37220701e+07  1.53539975e-17  10000.0
48  5.21268075e+17  2.25680963e+07  1.32205185e-17  10000.0
49  5.75938942e+17  2.14702582e+07  1.13834922e-17  10000.0
50  6.36343718e+17  2.04258251e+07  9.80172556e-18  10000.0
51  7.03083779e+17  1.94321991e+07  8.43974963e-18  10000.0
52  7.76823571e+17  1.84869086e+07  7.26702389e-18  10000.0
53  8.58297232e+17  1.75876022e+07  6.25725153e-18  10000.0
54  9.48315892e+17  1.67320432e+07  5.38778972e-18  10000.0
55  1.04777576e+18  1.59181033e+07  4.63914196e-18  10000.0
56  1.15766702e+18  1.51437579e+07  3.99452080e-18  10000.0
57  1.27908374e+18  1.44070811e+07  3.43947147e-18  10000.0
58  1.41323471e+18  1.37062403e+07  2.96154773e-18  10000.0
59  1.56145550e+18  1.30394924e+07  2.55003277e-18  10000.0
60  1.72522177e+18  1.24051787e+07  2.19569891e-18  10000.0
61  1.90616393e+18  1.18017217e+07  1.89060069e-18  10000.0
62  2.10608339e+18  1.12276201e+07  1.62789667e-18  10000.0
63  2.32697051e+18  1.06814460e+07  1.40169609e-18  10000.0
64  2.57102439e+18  1.01618409e+07  1.20692667e-18  10000.0
65  2.84067477e+18  9.66751231e+06  1.03922099e-18  10000.0
66  3.13860622e+18  9.19723059e+06  8.94818460e-19  10000.0
67  3.46778487e+18  8.74982600e+06  7.70481047e-19  10000.0
68  3.83148795e+18  8.32418567e+06  6.63420649e-19  10000.0
69  4.23333640e+18  7.91925085e+06  5.71236579e-19  10000.0
70  4.67733093e+18  7.53401433e+06  4.91861731e-19  10000.0
71  5.16789183e+18  7.16751785e+06  4.23516231e-19  10000.0
72  5.70990301e+18  6.81884981e+06  3.64667520e-19  10000.0
73  6.30876061e+18  6.48714293e+06  3.13995995e-19  10000.0
74  6.97042671e+18  6.17157211e+06  2.70365413e-19  10000.0
75  7.70148869e+18  5.87135243e+06  2.32797417e-19  10000.0
76  8.50922483e+18  5.58573710e+06  2.00449595e-19  10000.0
77  9.40167676e+18  5.31401570e+06  1.72596589e-19  10000.0
78  1.03877295e+19  5.05551234e+06  1.48613832e-19  10000.0
79  1.14772000e+19  4.80958402e+06  1.27963543e-19  10000.0
80  1.26809347e+19  4.57561903e+06  1.10182667e-19  10000.0
81  1.40109177e+19  4.35303540e+06  9.48724916e-20  10000.0
82  1.54803901e+19  4.14127948e+06  8.16897057e-20  10000.0
83  1.71039814e+19  3.93982455e+06  7.03387030e-20  10000.0
84  1.88978559e+19  3.74816951e+06  6.05649525e-20  10000.0
85  2.08798729e+19  3.56583764e+06  5.21492907e-20  10000.0
86  2.30697648e+19  3.39237541e+06  4.49030075e-20  10000.0
87  2.54893337e+19  3.22735136e+06  3.86636148e-20  10000.0
88  2.81626683e+19  3.07035499e+06  3.32912023e-20  10000.0
89  3.11163836e+19  2.92099580e+06  2.86653009e-20  10000.0
90  3.43798861e+19  2.77890227e+06  2.46821808e-20  10000.0
91  3.79856665e+19  2.64372097e+06  2.12525259e-20  10000.0
92  4.19696230e+19  2.51511563e+06  1.82994307e-20  10000.0
93  4.63714189e+19  2.39276638e+06  1.57566760e-20  10000.0
94  5.12348774e+19  2.27636888e+06  1.35672438e-20  10000.0
95  5.66084180e+19  2.16563360e+06  1.16820390e-20  10000.0
96  6.25455383e+19  2.06028511e+06  1.00587885e-20  10000.0
97  6.91053470e+19  1.96006135e+06  8.66109302e-21  10000.0
98  7.63531517e+19  1.86471303e+06  7.45761103e-21  10000.0
99  8.43611100e+19  1.77400299e+06  6.42135607e-21  10000.0
100  9.32089471e+19  1.68770559e+06  5.52909150e-21  10000.0
101  1.02984750e+20  1.60560618e+06  4.76080948e-21  10000.0
